designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 3179036008830848,3179036008830848,48.353258238212746,4.775200170986658,116.26781443397161,1741.8746105332423,86.49438435103424,1.450144,12.101368,3.3437214,28.16455,NOT_AVAILABLE,0,true,true,false,false,false,true,false,2962.7512,4.9724,-0.2385,8.6131,7.0E-4,4.0E-4,3.0E-4
Gaia DR3 8684153290176000,8684153290176000,45.450815437913555,8.4949880083898,32.804994924419375,312.20488975161584,-162.2572109460497,1.2812194,14.566868,2.9645863,-2.2904916,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3123.6187,5.1119,-0.4348,30.2407,4.0E-4,2.0E-4,2.0E-4
Gaia DR3 12785366021729280,12785366021729280,51.44081581740518,9.865453565644605,25.971693238368793,12.512712497884166,-222.01511889921247,1.4499567,13.151835,2.7283573,-14.49916,NOT_AVAILABLE,0,false,false,true,false,false,false,true,3239.1714,4.7626,-0.0105,38.1766,0.0043,0.0027,0.0019
Gaia DR3 14560046508208640,14560046508208640,49.64733387413152,10.312003584721053,28.35986764895837,145.85726342933074,-82.8883632030156,1.0741313,11.408224,2.1271954,15.660525,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3534.6023,4.5208,-0.4352,35.3419,0.029,0.0199,0.0116
Gaia DR3 18211043587721088,18211043587721088,40.358221140292535,5.988191372641447,22.575269610541906,79.06995529679446,-56.70192718132794,1.1569407,9.809756,1.602047,6.4720025,NOT_AVAILABLE,0,true,true,true,false,false,true,true,4052.106,4.2357,-0.6102,44.276,1.0E-4,1.0E-4,0.0
Gaia DR3 18973108224425856,18973108224425856,40.07804403528668,7.462822075752923,29.904262758878204,91.37792624944926,171.48420235779847,1.0875311,19.229486,3.5962772,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 30321099016072320,30321099016072320,49.61317372318086,15.176106923971478,20.219630328202456,3.719589057897707,-281.2930503790567,28.10156,7.221677,0.9736681,11.47542,NOT_AVAILABLE,2,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 34959010860789632,34959010860789632,43.823469266556074,16.308983183705624,37.328144420389556,204.0303657617365,-46.59796711370879,0.8970658,7.2228208,0.8991914,-1.4234511,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5470.9272,4.4425,-0.3492,26.767,0.0,0.0,0.0
Gaia DR3 38929141191925760,38929141191925760,60.18788343489715,13.906261435698088,22.207221277727587,129.1616867319085,-14.793878260018896,14.231843,13.338667,2.9850235,38.28595,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,
Gaia DR3 39387328302768640,39387328302768640,60.67688404539383,15.461932050780026,27.078319144684027,60.24394193525325,30.482973526698014,1.0012823,16.62413,0.47123146,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 42248498076777728,42248498076777728,53.47234944829559,14.858285503441627,22.62323153448534,90.45386256851525,-77.05991801660477,1.2211825,13.861795,2.654541,20.848385,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 42372845969541376,42372845969541376,54.32224819103992,15.372836460012573,24.57956841008046,198.161096053121,-7.796620823441217,1.2225533,15.229027,3.159008,25.798567,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3059.1748,5.0732,-0.2238,40.8755,2.0E-4,1.0E-4,1.0E-4
Gaia DR3 42793752764180736,42793752764180736,56.47899483176536,14.713122673022571,27.71237287564892,99.29797989143518,-265.13884416648057,1.2193956,11.065103,2.0595245,2.1052713,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 44052178182130816,44052178182130816,55.5191850780843,16.42165182131642,23.487096607129008,153.72489603918598,-23.959754699053434,1.038489,14.841915,3.1534996,32.267548,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 45198178534988672,45198178534988672,62.49039974488908,15.416883616520483,21.226790158930136,118.52269589876772,-21.854282998852014,1.5162789,14.58098,3.1423988,48.14809,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
