source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,l,b,parallax_over_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_over_error
123424475948672,44.8000069221394,0.7794933038508934,22.499346,3.1986246,14.900652,176.56737,0.03811606,-42.431644,0.033100802,175.90455376390634,-48.50111416624827,620.3012,34.41306,5.162348,1.2189958,20638.866549955063,1263.9052
452212812313984,45.0349266115007,1.6364715669582413,24.11454,2.5723238,13.457018,110.20616,0.018741013,10.806736,0.016886659,175.2448714704275,-47.72935462253316,1352.4142,39.94661,2.0449462,1.2695564,78008.07671796078,2327.0862
630505494719360,46.613135424105224,1.961063920576691,67.9335,1.7276907,8.457596,389.25305,0.023812708,-925.02625,0.022991313,176.5350451550684,-46.37984215639289,2476.2068,-31.353418,0.1720639,1.1065348,7796657.050713979,3156.994
756571374829440,47.29336525491694,2.2690520361871953,26.104267,3.9183216,16.616676,500.6942,0.109484695,101.94607,0.09142951,176.89724675511667,-45.6772036405366,276.25717,,,0.946297,4248.900779931333,852.4297
769456276704128,47.51489911594037,2.572769511017299,53.084366,3.4934063,14.59925,180.20093,0.041437715,-320.72046,0.03281088,176.80447796401145,-45.30706200802459,1240.3638,-51.70547,3.6362717,1.2674514,27242.485548436853,1321.855
1013169900890624,46.35758730385661,2.789019508815626,20.550472,2.8004866,13.888635,200.014,0.035741955,-134.16014,0.03307695,175.42483617371124,-45.980071894860366,615.1889,78.14651,2.2141223,1.7563044,52419.522669915714,1431.2563
1155453577587072,43.726188251009376,1.6485541236514145,20.863945,2.574688,13.044759,119.218544,0.13157402,9.274774,0.13034773,173.8268289877998,-48.6335964327832,160.54881,22.52529,1.2823822,7.7299557,114036.300515653,889.75616
1227712107314688,43.1958678724688,1.9284232652848503,22.195475,1.9648962,13.919317,1400.2917,0.022124128,-515.64545,0.01978163,172.95155302773378,-48.79410175398748,1108.2124,-3.1014507,3.4945986,1.1666596,50958.86831960513,2234.2068
1268321022907264,44.30777209360578,1.8809525492729866,20.69208,0.6621723,17.258162,100.38169,0.109033905,-99.30982,0.1026466,174.21526529878798,-48.063257386179984,174.59532,,,1.0345942,2353.324321097482,795.9566
1268325318000128,44.31282192447543,1.8869345636069161,20.884884,0.76951456,8.011133,107.808655,0.13242981,-95.05046,0.10026466,174.2144779446662,-48.055448365622404,231.80249,,,1.7452964,11762337.21634588,907.25507
2673638617215104,47.141127549760796,4.149839471519029,24.693996,2.8923092,13.973416,24.410358,0.029841794,61.953197,0.027072296,174.85147323078917,-44.46335582128024,908.65424,8.373323,1.9363374,1.2594124,48481.95764784971,1249.9408
2729232673961216,48.0987454059045,4.152218469777997,27.224829,2.5112991,13.912968,-65.58347,0.03085897,-10.421653,0.022619573,175.79029394991326,-43.78652021386,1206.0016,21.228277,2.1977146,1.2175618,51257.77455202769,2009.3635
2781562554898432,47.77883640970226,4.293187546106668,23.506382,4.478014,18.53209,399.46902,0.29340187,-33.67596,0.24874625,175.33977936783475,-43.913426086861094,104.87114,,,0.9636505,727.9660836111152,368.89258
3124060427493120,48.43491248963329,4.5545015232378585,26.891277,5.2273464,17.931368,-56.45582,0.17392814,-23.81723,0.156006,175.72071798336057,-43.265325896589424,169.96152,,,0.87854904,1265.9005878082053,495.0374
3179036008830848,48.353258238212746,4.775200170986658,116.267815,3.3437214,12.101368,1741.8746,0.04745122,86.494385,0.0436992,175.42710843097018,-43.16762090680206,2720.0735,28.16455,0.46345535,1.450144,271893.93401966005,953.046
3499474928879104,46.59890035767369,4.547457736113798,25.772705,2.90829,14.565909,-60.619038,0.030652693,-34.158962,0.026381684,173.91938546006597,-44.556072676019134,970.62665,9.060824,4.4476547,1.2555447,28092.010560938743,1679.4655
3499474928879232,46.59905784267629,4.54679059993731,25.201246,,15.40368,-73.79352,0.51557046,-30.225368,0.38203543,173.9201936342853,-44.556444274311296,63.789524,,,3.0638306,12985.978831415856,139.69191
3897223260297728,46.09620312100216,5.4216284543711035,27.22268,1.9374771,11.912911,457.41568,0.018596621,-38.237045,0.017501296,172.56896448442149,-44.26551387632922,1222.506,16.857618,0.694306,1.2419617,323431.3183805881,3430.0217
4061462809542400,47.90070740667656,5.726777321370225,22.916842,2.7285423,14.365818,146.4199,0.03116373,-208.56696,0.026982654,174.07478793376683,-42.80700975515419,601.8651,16.762396,3.118826,1.1718537,33776.87274631879,1173.2317
4267552520347776,47.56392170930795,5.90623884657126,55.24063,2.3352451,10.885645,-122.203026,0.03108993,-563.34344,0.027801622,173.57583408831655,-42.91042001473361,1681.982,-5.684577,0.19122379,1.3848362,833084.0806336512,2570.825
4307169298670464,46.77548689203329,5.987957106976739,23.644094,3.8279753,16.755627,43.226627,0.10752,-95.98524,0.097816795,172.71836254080938,-43.390313403374144,260.8371,,,0.83254725,3738.48645951673,790.2334
4656161161454464,43.172876765171196,3.280493888667714,26.178667,2.0483732,11.286471,94.74776,0.030992873,-12.536671,0.022800753,171.55274548351306,-47.812786433290576,1107.3639,-1.1865042,0.37680316,1.3493575,575914.5746909546,1971.3398
5837071009282816,41.784416283990545,4.935493885151825,32.60984,3.5418634,15.61984,-170.18591,0.06434777,-665.8606,0.05428665,168.3920925322399,-47.463542584176146,540.20044,,,1.1938249,10641.694885412364,1371.977
5850333868501248,41.337421695841414,4.7114504498852,20.371767,0.4174099,5.9799666,69.745476,0.06596487,-40.828014,0.05840944,168.09223672397223,-47.91944658269379,321.71527,23.694855,0.4484209,1.2503762,76376548.8505799,1557.7504
6260619209062272,42.540671623385336,5.539656668399988,20.592632,4.6743546,18.857353,86.4691,0.44334394,-111.12651,0.49110106,168.67614940695083,-46.51769679959383,65.25405,,,0.8960523,539.5175105848003,345.8136
6316591222362496,42.070344230331784,5.61806199135466,21.449102,3.0376978,13.143915,74.48753,0.023702648,-53.62058,0.020615242,168.0779705016067,-46.75554711395901,1001.37305,,,1.4140077,104083.23593721465,869.194
6346041813693696,43.16686674308697,5.7157912380214855,21.644844,2.52909,14.463564,-85.90558,0.03803291,-301.16907,0.033467557,169.2021662765935,-45.98191337212236,603.91907,56.16409,5.268952,1.4717836,30868.91332155552,909.869
6346041813693824,43.165709186489785,5.715947444180452,21.753056,1.2922182,9.962042,-77.62577,0.015991047,-299.5158,0.013842253,169.2007561639239,-45.98253860691018,1435.8457,52.57793,0.2845867,0.99042225,1950428.1372352487,5341.878
6348240836955520,42.98653737950994,5.713222886709305,21.472008,2.7250528,14.30457,486.48505,0.029637387,-126.40494,0.023720061,169.00707563607486,-46.09965862924891,916.20984,91.54893,2.8988142,1.1439937,35737.06230381481,1612.7924
6397856299125120,43.34394291915119,6.132224590694776,22.178354,3.3176918,15.695479,193.06404,0.052658755,-298.9075,0.044897225,169.00964368266017,-45.550170455208104,451.88208,,,1.1219609,9925.561902289097,1063.5806
6452209110182016,42.96314533979586,6.227655066741859,40.82115,2.5259972,12.089319,469.04517,0.024872612,-122.975914,0.023829307,168.5069204210454,-45.720082255246005,1642.9594,58.410362,0.32170182,1.3606181,274927.9361043152,1755.4119
6963383233077632,45.961700034802064,6.130449084390715,31.933529,-0.05897045,14.964418,227.79416,0.045487028,54.00028,0.039846964,171.7638510431026,-43.83482220511261,704.9195,,,1.0575107,19461.63813966856,1536.543
6963761190199424,45.9627666464047,6.133522852317712,31.979074,0.7092409,6.792566,232.1469,0.030054994,49.837746,0.026444608,171.76206616829526,-43.83183640743082,1120.7446,24.714314,0.14889957,1.2677258,36134370.31160764,3527.4626
6989290475763456,45.153526828148586,5.985359407396669,30.321892,0.9936247,7.8996253,698.2328,0.027624846,-158.18056,0.02299494,171.06791713997404,-44.481082959876744,1182.9305,71.0627,0.1878509,1.227266,13034568.366175992,4499.7246
6989977670532096,45.017420832126774,5.990593492092854,32.158863,2.6237888,13.108954,78.65732,0.019584397,-74.622345,0.018460596,170.92134649785032,-44.567284904202275,1624.2122,-21.430649,2.090258,1.3223455,107489.19880175582,1834.054
8011385317379968,43.38462505039413,6.912943044874931,22.949396,2.562808,12.554105,112.11357,0.16672148,-83.47108,0.17157264,168.34232763951812,-44.925384295798594,149.40367,-3.268896,1.0058194,7.0102277,179186.3189223324,1758.7614
8193113974019072,42.977740590998,7.050926378148616,22.283068,3.4859705,16.072254,9.094176,0.07386338,-129.97226,0.0674392,167.77730433624805,-45.07547015136851,285.82883,,,1.2874967,7015.280718873166,526.4403
8367803179074816,44.031485207345426,7.92234863553417,21.351429,1.1935358,9.622882,186.06044,0.01486885,-43.97296,0.013042841,168.13250429719173,-43.738868580045065,1468.7439,35.431152,0.19679527,0.94850045,2665593.612821136,6109.795
8479094371605632,45.013187696357434,7.7498492432584785,42.078083,1.1033611,7.7199035,328.02573,0.031512383,21.180765,0.026993278,169.31124961582265,-43.24457160502546,1514.6654,28.618938,0.12749301,1.0053616,15381029.906973125,2758.603
8578256576520320,44.99859716662171,8.198672824518475,33.93675,0.6190653,15.781027,479.7222,0.048371788,-75.68574,0.04459824,168.8978041741304,-42.91222345056484,779.8613,,,1.0458804,9173.5195142067,1039.666
