ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU1MQ==,2019-07-20T01:41:53+00:00,LBAND,258.71372800000023,10.390443835242216,2.247029800820236e-05,59000.0,1.1836,0.034,2207.0361328125,5.029,-0.991691,0.06,0.04359010011123471
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwMzY=,2024-11-07T12:40:21+00:00,LBAND,255.569592224299,10.3901264404565,2.909048544628784e-05,59000.0,0.9109,0.137,585.218994140625,1.375,-4.18552,0.06,0.08763860887096774
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwMzU=,2024-11-04T16:19:05+00:00,LBAND,511.54544927102796,10.390061974123398,3.156410814388927e-05,59000.0,2.5701,0.103,1227.89404296875,1.968,-3.38025,0.06,0.14991009424603174
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwMzQ=,2024-10-02T16:18:37+00:00,LBAND,511.54544927102796,10.390108681704794,2.349211710467464e-05,59000.0,1.1356,0.078,968.726318359375,1.844,-3.5784,0.05,0.12616257440476192
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzg1OTA=,2024-10-21T15:05:28+00:00,LBAND,255.56959222429902,10.390132225714407,6.15890460877126e-05,59000.0,9.6205,0.165,1286.01293945312,3.483,-3.57211,0.05,0.10276692708333333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwNjg=,2024-11-25T15:49:17+00:00,LBAND,255.56959222429902,10.39013842881095,2.950430930802362e-05,59000.0,1.3494,0.088,945.653076171875,2.337,-3.34751,0.06,0.10102696572580645
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzg1OTQ=,2024-10-25T16:34:07+00:00,LBAND,511.54544927102796,10.390085966480475,1.704581008308557e-05,59000.0,1.3082,0.071,1312.36804199219,2.347,-3.96306,0.04,0.24150545634920634
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3Nw==,2019-09-29T13:28:04+00:00,LBAND,258.5566935327105,10.39036331836895,0.00016182600038154956,59000.0,1.8713,0.308,338.570281982422,0.896,-1.34375,0.24,0.08120133481646273
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5Ng==,2020-01-05T09:47:37+00:00,LBAND,257.53764007476656,10.390328989835838,1.470389767668935e-05,59000.0,1.5226,0.055,1864.61193847656,4.134,-1.10634,0.04,0.05210650723025584
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY3Mg==,2020-07-17T01:51:59+00:00,LBAND,255.89076695327034,10.390740592333415,2.943327838762569e-05,59000.0,2.0712,0.143,697.484985351562,1.912,-0.651437,0.05,0.08908770161290322
