ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzg1OTA=,2024-10-21T15:05:28+00:00,LBAND,255.56959222429904,10.390198253578497,6.158951618983312e-05,59000.0,9.6206,0.165,1286.01293945312,3.483,-3.57211,0.05,0.1027669270833333,-3.1539017344284335,0.06461231021540895
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwNjg=,2024-11-25T15:49:17+00:00,LBAND,255.56959222429904,10.390264008893414,2.950611230582592e-05,59000.0,1.3495,0.088,945.653076171875,2.337,-3.34751,0.06,0.1010269657258064,-2.518576024986932,0.06526710180625193
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwMzQ=,2024-10-02T16:18:37+00:00,LBAND,511.545449271028,10.39016151034894,2.349022436364474e-05,59000.0,1.1354,0.078,968.726318359375,1.844,-3.5784,0.05,0.1261625744047619,-2.816959409807959,0.06282008270844319
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzkwMzU=,2024-11-04T16:19:05+00:00,LBAND,511.545449271028,10.390143763213851,3.155592204719115e-05,59000.0,2.5688,0.103,1227.89404296875,1.968,-3.38025,0.06,0.1499100942460317,-2.5375491385339917,0.06490940758451318
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5Ng==,2020-01-05T09:47:37+00:00,LBAND,257.53764007476656,10.390723979123068,1.470944166226383e-05,59000.0,1.5238,0.055,1864.61193847656,4.134,-1.10634,0.04,0.0521065072302558,-0.5487130998699314,0.05086195204599396
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY3Mg==,2020-07-17T01:51:59+00:00,LBAND,255.89076695327037,10.39077591711674,2.942945236348449e-05,59000.0,2.0707,0.143,697.484985351562,1.912,-0.651437,0.05,0.0890877016129032,-0.2424299134840704,0.05298664492896056
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3Nw==,2019-09-29T13:28:04+00:00,LBAND,258.5566935327105,10.390414172281906,0.000161848462983,59000.0,1.8718,0.308,338.570281982422,0.896,-1.34375,0.24,0.0812013348164627,-0.3957145152943483,0.03728929277698663
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0Mg==,2020-04-08T05:50:22+00:00,LBAND,513.5078543551394,10.390649284492408,2.292339866796982e-05,59000.0,1.054,0.103,775.213928222656,1.292,-2.33234,0.08,0.1110181051587301,-0.32233526295354614,0.07615848471270205
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY4NA==,2020-10-10T19:03:02+00:00,LBAND,255.4987208971956,10.390885580696876,2.421834856680249e-05,59000.0,1.6119,0.09,1092.65942382812,2.647,-1.00226,0.05,0.0726751512096774,-0.4036528198627443,0.05518614967968571
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcyNQ==,2022-02-13T07:56:03+00:00,LBAND,511.5476240747657,10.390659206264518,1.433208595146093e-05,59000.0,1.0617,0.065,1340.17407226562,2.048,-1.88594,0.05,0.0914713541666666,-1.52223415389882,0.057352540373982235
